name,label,data_type,value_labels
pid,Anon ID,character,
age,What is your current age in years?,numeric,
race,Combined race,numeric,"1. White,2. Native American,3. Asian,4. Black,5. Other,6. Prefer not to answer,7. Multiracial"
native,American Indian or Alaskan Native,numeric,1. Yes
asian,Asian,numeric,1. Yes
black,Black or African American,numeric,1. Yes
pacific_islander,Native Hawaiian or Pacific Islander,numeric,1. Yes
white,White,numeric,1. Yes
other_race,Other (please describe),numeric,1. Yes
pnta_race,I prefer not to answer,numeric,1. Yes
hispanic,Which of the following best describes you? (Choose one answer),numeric,"1. Hispanic or Latino/Latina,2. Not Hispanic or Latino/Latina,3. I prefer not to answer"
gender,What is your gender identity?,numeric,"1. Male,2. Female,3. Non-binary,4. Other,5. Prefer not to answer"
residence,"Is your current residence in an urban, suburban, or rural area?",numeric,"1. Urban,2. Suburban,3. Rural"
region,In which of the following regions do you reside?,numeric,"1. Northeast,2. South,3. West,4. Midwest"
education,What is the highest level of schooling you have completed?,numeric,"1. Less than high school,2. Some college,3. 2-year college degree,4. 4-year college degree,5. Master's degree,6. Doctoral's degree,7. Professional degree, e.g., JD/MD,8. High school/GED/Technical/vocational training)"
marital_status,What is your current marital status?,numeric,"1. Married, or living as married,2. Divorced or separated,3. Widowed,4. Single/never married"
income,"What was your total household income from all sources before taxes last year? By ""household"", we mean that you should report the combined income of everyone in your home.",numeric,"1. $14,999 or less,2. $15,000 - $24,999,3. $25,000 - $29,999,4. $30,000 - $34,999,5. $35,000 - $49,999,6. $50,000 - $74,999,7. $75,000 - $99,999,8. $100,000 - $149,999,9. $150,000 - $199,999,10. $200,000 or more,11. Don't know,12. I prefer not to answer"
smartphone_hours,How many hours do you spend on your smartphone each day?,numeric,"1. 0-1 hours,2. 1-3 hours,3. 3-5 hours,4. 5-7 hours,5. More than 7 hours"
valence_1,Rate the VALENCE of this image:,numeric,"1. Extremely negative,2. Very negative,3. Moderately negative,4. Somewhat negative,5. Neutral,6. Somewhat positive,7. Moderately positive,8. Very positive,9. Extremely positive"
valence_2,Rate the VALENCE of this image:,numeric,"1. Extremely negative,2. Very negative,3. Moderately negative,4. Somewhat negative,5. Neutral,6. Somewhat positive,7. Moderately positive,8. Very positive,9. Extremely positive"
