image,name_image,valence_human,arousal_human,valence_ml,arousal_ml,actual_valence,actual_arousal,adjusted_valence,adjusted_arousal,source
1,OASIS_baby7_va1,3.34935305,5.621072089,5.1128345,4.5486126,2.970588235,4.247524752,3.62745098,5.330033003,OASIS
10,DITL_va10,5.970425139,4.951851852,4.051212,5.0425014,NA,NA,NA,NA,smartphone
100,OASIS_yoga3_va100,6.968283582,4.585046729,7.056949,5.1356077,5.490196078,3.643564356,6.986928104,4.524752475,OASIS
11,DITL_va11,6.051756007,4.25323475,5.096792,3.919233,NA,NA,NA,NA,smartphone
12,DITL_va12,5.711645102,3.97037037,5.952007,5.3418837,NA,NA,NA,NA,smartphone
13,DITL_va13,4.831481481,5.955555556,5.4368176,5.832475,NA,NA,NA,NA,smartphone
14,DITL_va14,4.624768946,5.894639556,5.989872,5.6788206,NA,NA,NA,NA,smartphone
15,DITL_va15,5.367837338,5.338888889,6.24832,5.740356,NA,NA,NA,NA,smartphone
16,DITL_va16,5.384473198,5.044362292,6.229355,5.78217,NA,NA,NA,NA,smartphone
17,DITL_va17,2.035120148,6.33580705,5.4805346,5.7406254,NA,NA,NA,NA,smartphone
18,DITL_va18,5.454713494,5.896487985,5.973365,5.443566,NA,NA,NA,NA,smartphone
19,DITL_va19,6.377079482,4.827777778,4.580862,5.722094,NA,NA,NA,NA,smartphone
2,OASIS_depressedpose4_va2,3.628465804,4.03142329,5.2793117,5.029594,3.254901961,3.287128713,4.006535948,4.049504951,OASIS
20,DITL_va20,4.319778189,2.787430684,5.609181,3.8629565,NA,NA,NA,NA,smartphone
21,DITL_va21,6.741219963,5.255083179,4.7810445,5.262436,NA,NA,NA,NA,smartphone
22,DITL_va22,5.066666667,4.205175601,4.816531,4.0544114,NA,NA,NA,NA,smartphone
23,DITL_va23,3.411111111,4.504621072,3.7690783,4.255288,NA,NA,NA,NA,smartphone
24,DITL_va24,3.50831793,4.890740741,4.0198402,4.5169764,NA,NA,NA,NA,smartphone
